Player,Month,Day,Player ,Month,Day ,Player ,Month,Day ,Player ,Month,Day ,Player ,Month,Day ,Player ,Month,Day 
Brenden Aaronson,10,22,Alana Cook,4,11,Danilo Acosta,11,17,Sergino Dest,11,3,Virgil Van Dijk,7,8,Daniel Carvajal,1,11
Kellyn Acosta,7,24,Abby Dahlkemper,5,13,Efrain Alvarez,6,19,Gerard Pique,2,2,Joe Gomez,5,23,Eder Militao,1,18
Ayo Akinola,1,20,Tierna Davidson,9,12,Julian Araujo,8,13,Ronald Araujo,3,7,Kosta Tsimikas,5,12,Sergio Ramos,3,30
Efrain Alvarez,5,19,Crystal Dunn,7,3,Joe Corona,7,9,Clement Lenglet,6,17,Andy Robertson,3,11,Raphael Varane,4,25
Julian Araujo,8,13,Julie Ertz,4,6,Emil Cuello,1,2,Jordi Alba,3,21,Joel Matip,8,8,Nacho,1,18
Paul Arriola,2,5,Ashley Hatch,5,25,Nick DePuy,11,14,Sergi Roberto,2,7,Rhys Williams,2,3,Marcelo,5,12
Cole Bassett,7,28,Tobin Heath,5,29,Jonathan dos Santos,4,26,Samuel Umtiti,11,14,Nathaniel Phillips,3,21,Odriozola,12,14
Daryl Dike,5,3,Jaelin Howell,9,21,Cameron Dunbar,10,22,Junior Firpo,8,22,Trent Alexaner Arnold,10,7,F. Mendy,6,8
Kyle Duncan,8,8,Rose Levelle,5,14,Rolf Feltscher,10,6,Sergio Busquets,7,16,Sepp Van Den Berg,12,20,Toni Kroos,1,4
Marco Farfan,11,12,Catarina Macario,10,4,Giancarlo Gonzalez,2,8,Carles Alena,1,5,Neco Williams,4,13,Luka Modric,9,9
Sabastian Lletget,9,3,Kristie Mewis,2,25,Carlos Harvey,2,3,Miralem Pjanic,4,2,Fabinho,10,23,Casemiro,2,23
Aaron Long,10,12,Samantha Mewis,10,9,Javier Hernandez,6,1,Riqui Puig,8,13,Georginio Wijnaldum,11,11,Valverde,7,22
Mark McKenzie,2,25,Alex Morgan,7,2,Emiliano Insua,1,7,Philippe Coutinho Correia,6,12,Thiago Alcantara,4,11,Odegaard,12,17
Djordje Mihailovic,11,10,Kelley O'Hara,8,4,Perry Kitchen,2,29,Pedri,11,25,James Milner,1,4,Isco,4,21
Chris Mueller,8,29,Christen Press,12,29,Sacha Kljestan,9,9,Matheus Fernandes,6,30,Naby Keita,2,10,Hazard,1,7
Andres Perea,11,14,Margaret Purce,9,18,Kai Koreniuk,3,1,Frenkie De Jong,5,12,Jordan Henderson,6,17,Karim Benzema,12,19
Mauricio Pineda,10,17,Becky Sauerbrunn,5,6,Sebastian Lletget,9,3,Antoine Griezmann,3,21,Alex Oxlade Chamberlain,8,15,Asensio,1,21
Sam Vines,5,31,Sophia Smith,8,10,Cristian Pavon,1,21,Martin Braithwaite,6,5,Curtis Jones,1,30,Lucas V.,7,1
Jackson Yueill,3,19,Emily Sonnett,11,25,Jonathan Perez,1,18,Lionel Messi,6,24,Xherdan Shaqiri,10,10,Jovic,12,23
Walker Zimmerman,5,19,Lynn Williams,5,21,Daniel Steres,11,11,Ousmane Dembele,5,15,Roberto Firmino,10,2,Vini Jr.,7,12
,,,,,,Diedie Traore,1,15,Trincao,12,29,Sadio Mane,4,10,Mariano,8,1
,,,,,,Ethan Zubak,4,15,Ansu Fati,10,31,Mohamed Salah,6,15,Rodrygo,1,9
,,,,,,,,,,,,Takumi Minamino,1,16,,,
,,,,,,,,,,,,Diogo Jota,12,4,,,
,,,,,,,,,,,,Divock Origi,4,18,,,
